Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z7GetTimev
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z8zmqErrorPKc
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z9GetOpName10opcodetype
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z9StartRESTv
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN10CDBWrapperC2ERKN5boost10filesystem4pathEmbbb
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN10CSchedulerC2Ev
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN10NetMsgType7VERSIONE
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN11Checkpoints17GetLastCheckpointERK15CCheckpointData
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN12CBloomFilterC2Ejdjh
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN12CChainParams20UpdateBIP9ParametersEN9Consensus13DeploymentPosEll
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN12CCoinsViewDBC2Embb
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN12CMerkleBlockC2ERK6CBlockR12CBloomFilter
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN12GlobalConfigC2Ev
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN14TxConfirmStats10InitializeERSt6vectorIdSaIdEEjd
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN15CTxMemPoolEntryC2ERKSt10shared_ptrIK12CTransactionE6AmountldjS6_bl10LockPoints
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN16CBaseChainParams4MAINB5cxx11E
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN20CZMQAbstractNotifierD2Ev
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN25CBlockHeaderAndShortTxIDsC2ERK6CBlock
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN27CZMQAbstractPublishNotifier10InitializeEPv
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN27TransactionSignatureCreatorC2EPK9CKeyStorePK12CTransactionj6Amount11SigHashType
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6CBanDBC2ERK12CChainParams
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6CChain6SetTipEP11CBlockIndex
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN8CNetAddr4InitEv
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN8fsbridge5fopenERKN5boost10filesystem4pathEPKc
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN9CKeyStore6AddKeyERK4CKey
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN9RPCServer9OnStartedESt8functionIFvvEE
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN9benchmark11BenchRunner10benchmarksB5cxx11Ev
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZNK10CCoinsView7GetCoinERK9COutPointR4Coin
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZNK12CBlockHeader7GetHashEv
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZNK17CScriptCompressor9IsToKeyIDER6CKeyID
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZNK9CAddrInfo14GetTriedBucketERK7uint256
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZNK9COutPoint8ToStringB5cxx11Ev
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_bench_124MempoolEviction
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_bench_157MyDb
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_bench_17Sleep100ms
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_bench_188MyVerifyScriptBench
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_bench_268MyMempool
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_bench_43Base58Encode
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_bench_44LockedPool
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_bench_44RollingBloom
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_bench_56DeserializeBlockTest
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_bench_93CCheckQueueSpeed
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_bench_93CCoinsCaching
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_bench_94RIPEMD160
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_cs_main
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_cs_warnings
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_eventHTTP
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_fAcceptDatacarrier
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_fDiscover
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_fFeeEstimatesInitialized
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_globalVerifyHandle
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_nConnectTimeout
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_nLastBlockTx
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_nMaxBlockSize
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_nTimeBestReceived
  0.00     95.88     0.00        1     0.00     0.00  _GLOBAL__sub_I_uiInterface
  0.00     95.88     0.00        1     0.00     0.00  void WriteCompactSize<CDataStream>(CDataStream&, unsigned long)
  0.00     95.88     0.00        1     0.00     0.00  TryCreateDirectories(boost::filesystem::path const&)
  0.00     95.88     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int) [clone .constprop.137]
  0.00     95.88     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int) [clone .constprop.160]
  0.00     95.88     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int) [clone .constprop.325]
  0.00     95.88     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int) [clone .constprop.425]
  0.00     95.88     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int) [clone .constprop.47]
  0.00     95.88     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int) [clone .constprop.637]
  0.00     95.88     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int) [clone .constprop.639]
  0.00     95.88     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > HexStr<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, bool)
  0.00     95.88     0.00        1     0.00     0.00  GetTime()
  0.00     95.88     0.00        1     0.00     0.00  void Serialize<CDataStream, char>(CDataStream&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     95.88     0.00        1     0.00     0.00  perf_fini()
  0.00     95.88     0.00        1     0.00     0.00  perf_init()
  0.00     95.88     0.00        1     0.00     0.00  DebugPrintInit()
  0.00     95.88     0.00        1     0.00     0.11  MyDb(benchmark::State&)
  0.00     95.88     0.00        1     0.00     0.00  CMutexLock<CCriticalSection>::CMutexLock(CCriticalSection&, char const*, char const*, int, bool)
  0.00     95.88     0.00        1     0.00     0.00  CTxMemPool::_clear()
  0.00     95.88     0.00        1     0.00     0.00  LockedPool::LockedPageArena::~LockedPageArena()
  0.00     95.88     0.00        1     0.00     0.00  LockedPool::free(void*)
  0.00     95.88     0.00        1     0.00     0.00  LockedPool::alloc(unsigned long)
  0.00     95.88     0.00        1     0.00     0.00  LockedPool::new_arena(unsigned long, unsigned long)
  0.00     95.88     0.00        1     0.00     0.00  tinyformat::detail::formatImpl(std::ostream&, char const*, tinyformat::detail::FormatArg const*, int)
  0.00     95.88     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > tinyformat::format<>(char const*)
  0.00     95.88     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > tinyformat::format<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     95.88     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > tinyformat::format<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     95.88     0.00        1     0.00     0.00  ArgsManager::GetBoolArg(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool)
  0.00     95.88     0.00        1     0.00     0.00  TxConfirmStats::Initialize(std::vector<double, std::allocator<double> >&, unsigned int, double)
  0.00     95.88     0.00        1     0.00     0.00  SaltedTxidHasher::SaltedTxidHasher()
  0.00     95.88     0.00        1     0.00     0.00  dbwrapper_private::HandleError(leveldb::Status const&)
  0.00     95.88     0.00        1     0.00     0.00  CBitcoinLevelDBLogger::~CBitcoinLevelDBLogger()
  0.00     95.88     0.00        1     0.00     0.00  CBlockPolicyEstimator::CBlockPolicyEstimator(CFeeRate const&)
  0.00     95.88     0.00        1     0.00     0.00  PosixLockedPageAllocator::FreeLocked(void*, unsigned long)
  0.00     95.88     0.00        1     0.00     0.00  PosixLockedPageAllocator::AllocateLocked(unsigned long, bool*)
  0.00     95.88     0.00        1     0.00     0.00  PosixLockedPageAllocator::GetLimit()
  0.00     95.88     0.00        1     0.00     0.00  Arena::free(void*)
  0.00     95.88     0.00        1     0.00     0.00  Arena::alloc(unsigned long)
  0.00     95.88     0.00        1     0.00     0.00  Arena::Arena(void*, unsigned long, unsigned long)
  0.00     95.88     0.00        1     0.00     0.00  Arena::~Arena()
  0.00     95.88     0.00        1     0.00     0.00  boost::multi_index::detail::bucket_array<std::allocator<CTxMemPoolEntry> >::bucket_array(std::allocator<CTxMemPoolEntry> const&, boost::multi_index::detail::hashed_index_node_impl<std::allocator<char> >*, unsigned long)
  0.00     95.88     0.00        1     0.00     0.00  boost::shared_mutex::unlock_shared()
  0.00     95.88     0.00        1     0.00     0.00  boost::recursive_mutex::unlock()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::optional_last_value<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::dispose()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::optional_last_value<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~sp_counted_impl_p()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > (char const*), boost::signals2::optional_last_value<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, int, std::less<int>, boost::function<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > (char const*)>, boost::function<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > (boost::signals2::connection const&, char const*)>, boost::signals2::mutex>::invocation_state>::dispose()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > (char const*), boost::signals2::optional_last_value<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, int, std::less<int>, boost::function<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > (char const*)>, boost::function<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > (boost::signals2::connection const&, char const*)>, boost::signals2::mutex>::invocation_state>::~sp_counted_impl_p()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > (char const*), boost::signals2::optional_last_value<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, int, std::less<int>, boost::function<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > (char const*)>, boost::function<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > (boost::signals2::connection const&, char const*)>, boost::signals2::mutex> >::dispose()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<bool (Config const&, CNode*, CConnman&, std::atomic<bool>&), CombinerAll, int, std::less<int>, boost::function<bool (Config const&, CNode*, CConnman&, std::atomic<bool>&)>, boost::function<bool (boost::signals2::connection const&, Config const&, CNode*, CConnman&, std::atomic<bool>&)>, boost::signals2::mutex> >::~sp_counted_impl_p()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<bool (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int), boost::signals2::last_value<bool>, int, std::less<int>, boost::function<bool (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int)>, boost::function<bool (boost::signals2::connection const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int)>, boost::signals2::mutex>::invocation_state>::dispose()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<bool (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int), boost::signals2::last_value<bool>, int, std::less<int>, boost::function<bool (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int)>, boost::function<bool (boost::signals2::connection const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int)>, boost::signals2::mutex>::invocation_state>::~sp_counted_impl_p()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<bool (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int), boost::signals2::last_value<bool>, int, std::less<int>, boost::function<bool (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int)>, boost::function<bool (boost::signals2::connection const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int)>, boost::signals2::mutex> >::dispose()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<bool (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int), boost::signals2::last_value<bool>, int, std::less<int>, boost::function<bool (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int)>, boost::function<bool (boost::signals2::connection const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int)>, boost::signals2::mutex> >::~sp_counted_impl_p()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<bool (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int), boost::signals2::last_value<bool>, int, std::less<int>, boost::function<bool (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int)>, boost::function<bool (boost::signals2::connection const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int)>, boost::signals2::mutex>::invocation_state>::dispose()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<bool (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int), boost::signals2::last_value<bool>, int, std::less<int>, boost::function<bool (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int)>, boost::function<bool (boost::signals2::connection const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int)>, boost::signals2::mutex>::invocation_state>::~sp_counted_impl_p()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<bool (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int), boost::signals2::last_value<bool>, int, std::less<int>, boost::function<bool (std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int)>, boost::function<bool (boost::signals2::connection const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int)>, boost::signals2::mutex> >::dispose()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CWallet*), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CWallet*)>, boost::function<void (boost::signals2::connection const&, CWallet*)>, boost::signals2::mutex>::invocation_state>::dispose()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CWallet*), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CWallet*)>, boost::function<void (boost::signals2::connection const&, CWallet*)>, boost::signals2::mutex>::invocation_state>::~sp_counted_impl_p()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CWallet*), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CWallet*)>, boost::function<void (boost::signals2::connection const&, CWallet*)>, boost::signals2::mutex> >::dispose()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CWallet*), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CWallet*)>, boost::function<void (boost::signals2::connection const&, CWallet*)>, boost::signals2::mutex> >::~sp_counted_impl_p()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CBlockIndex const*, std::shared_ptr<CBlock const> const&), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CBlockIndex const*, std::shared_ptr<CBlock const> const&)>, boost::function<void (boost::signals2::connection const&, CBlockIndex const*, std::shared_ptr<CBlock const> const&)>, boost::signals2::mutex>::invocation_state>::dispose()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CBlockIndex const*, std::shared_ptr<CBlock const> const&), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CBlockIndex const*, std::shared_ptr<CBlock const> const&)>, boost::function<void (boost::signals2::connection const&, CBlockIndex const*, std::shared_ptr<CBlock const> const&)>, boost::signals2::mutex>::invocation_state>::~sp_counted_impl_p()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CBlockIndex const*, std::shared_ptr<CBlock const> const&), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CBlockIndex const*, std::shared_ptr<CBlock const> const&)>, boost::function<void (boost::signals2::connection const&, CBlockIndex const*, std::shared_ptr<CBlock const> const&)>, boost::signals2::mutex> >::dispose()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CBlockIndex const*, std::shared_ptr<CBlock const> const&), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CBlockIndex const*, std::shared_ptr<CBlock const> const&)>, boost::function<void (boost::signals2::connection const&, CBlockIndex const*, std::shared_ptr<CBlock const> const&)>, boost::signals2::mutex> >::~sp_counted_impl_p()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CBlockIndex const*, CBlockIndex const*, bool), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CBlockIndex const*, CBlockIndex const*, bool)>, boost::function<void (boost::signals2::connection const&, CBlockIndex const*, CBlockIndex const*, bool)>, boost::signals2::mutex>::invocation_state>::dispose()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CBlockIndex const*, CBlockIndex const*, bool), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CBlockIndex const*, CBlockIndex const*, bool)>, boost::function<void (boost::signals2::connection const&, CBlockIndex const*, CBlockIndex const*, bool)>, boost::signals2::mutex>::invocation_state>::~sp_counted_impl_p()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CBlockIndex const*, CBlockIndex const*, bool), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CBlockIndex const*, CBlockIndex const*, bool)>, boost::function<void (boost::signals2::connection const&, CBlockIndex const*, CBlockIndex const*, bool)>, boost::signals2::mutex> >::dispose()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CBlockLocator const&), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CBlockLocator const&)>, boost::function<void (boost::signals2::connection const&, CBlockLocator const&)>, boost::signals2::mutex>::invocation_state>::dispose()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CBlockLocator const&), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CBlockLocator const&)>, boost::function<void (boost::signals2::connection const&, CBlockLocator const&)>, boost::signals2::mutex>::invocation_state>::~sp_counted_impl_p()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CBlockLocator const&), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CBlockLocator const&)>, boost::function<void (boost::signals2::connection const&, CBlockLocator const&)>, boost::signals2::mutex> >::dispose()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CBlockLocator const&), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CBlockLocator const&)>, boost::function<void (boost::signals2::connection const&, CBlockLocator const&)>, boost::signals2::mutex> >::~sp_counted_impl_p()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CBlock const&, CValidationState const&), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CBlock const&, CValidationState const&)>, boost::function<void (boost::signals2::connection const&, CBlock const&, CValidationState const&)>, boost::signals2::mutex>::invocation_state>::dispose()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CBlock const&, CValidationState const&), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CBlock const&, CValidationState const&)>, boost::function<void (boost::signals2::connection const&, CBlock const&, CValidationState const&)>, boost::signals2::mutex>::invocation_state>::~sp_counted_impl_p()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CBlock const&, CValidationState const&), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CBlock const&, CValidationState const&)>, boost::function<void (boost::signals2::connection const&, CBlock const&, CValidationState const&)>, boost::signals2::mutex> >::dispose()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (CBlock const&, CValidationState const&), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (CBlock const&, CValidationState const&)>, boost::function<void (boost::signals2::connection const&, CBlock const&, CValidationState const&)>, boost::signals2::mutex> >::~sp_counted_impl_p()
  0.00     95.88     0.00        1     0.00     0.00  boost::detail::sp_counted_impl_p<boost::signals2::detail::signal_impl<void (Config const&, CNode*, CConnman&), boost::signals2::optional_last_value<void>, int, std::less<int>, boost::function<void (Config const&, CNode*, CConnman&)>, boost::function<void (boost::signals2::connection const&, Config const&, CNode*, CConnman&)>, boost::signals2::mutex>::invocation_state>::dispose()
