Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     95.88     0.00      188     0.00     0.00  void std::vector<unsigned char, std::allocator<unsigned char> >::_M_emplace_back_aux<unsigned char>(unsigned char&&)
  0.00     95.88     0.00      128     0.00     0.00  secp256k1_gej_add_ge
  0.00     95.88     0.00      123     0.00     0.00  boost::detail::sp_counted_base::release()
  0.00     95.88     0.00      122     0.00     0.00  secp256k1_sha256_write
  0.00     95.88     0.00       98     0.00     0.00  boost::algorithm::detail::is_any_ofF<char>::is_any_ofF<boost::iterator_range<char const*> >(boost::iterator_range<char const*> const&)
  0.00     95.88     0.00       98     0.00     0.00  std::_Rb_tree_iterator<std::pair<double const, unsigned int> > std::_Rb_tree<double, std::pair<double const, unsigned int>, std::_Select1st<std::pair<double const, unsigned int> >, std::less<double>, std::allocator<std::pair<double const, unsigned int> > >::_M_emplace_hint_unique<std::piecewise_construct_t const&, std::tuple<double const&>, std::tuple<> >(std::_Rb_tree_const_iterator<std::pair<double const, unsigned int> >, std::piecewise_construct_t const&, std::tuple<double const&>&&, std::tuple<>&&)
  0.00     95.88     0.00       98     0.00     0.00  std::_Rb_tree<double, std::pair<double const, unsigned int>, std::_Select1st<std::pair<double const, unsigned int> >, std::less<double>, std::allocator<std::pair<double const, unsigned int> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<double const, unsigned int> >, double const&)
  0.00     95.88     0.00       97     0.00     0.00  AddedNodeInfo* std::__uninitialized_fill_n<false>::__uninit_fill_n<AddedNodeInfo*, unsigned long, AddedNodeInfo>(AddedNodeInfo*, unsigned long, AddedNodeInfo const&)
  0.00     95.88     0.00       68     0.00     0.00  secp256k1_sha256_transform
  0.00     95.88     0.00       67     0.00     0.00  leveldb::(anonymous namespace)::PosixWritableFile::Append(leveldb::Slice const&)
  0.00     95.88     0.00       52     0.00     0.00  std::vector<int, std::allocator<int> >::_M_default_append(unsigned long)
  0.00     95.88     0.00       50     0.00     0.00  std::_Function_base::_Base_manager<void (*)(benchmark::State&)>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00     95.88     0.00       48     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::emplace_back<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00     95.88     0.00       42     0.00     0.00  boost::recursive_mutex::recursive_mutex()
  0.00     95.88     0.00       42     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_emplace_back_aux<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00     95.88     0.00       42     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector()
  0.00     95.88     0.00       38     0.00     0.00  leveldb::port::Mutex::Mutex()
  0.00     95.88     0.00       35     0.00     0.00  leveldb::(anonymous namespace)::PosixSequentialFile::Read(unsigned long, leveldb::Slice*, char*)
  0.00     95.88     0.00       35     0.00     0.02  leveldb::log::Reader::ReadPhysicalRecord(leveldb::Slice*)
  0.00     95.88     0.00       35     0.00     0.00  leveldb::port::Mutex::~Mutex()
  0.00     95.88     0.00       33     0.00     0.00  leveldb::(anonymous namespace)::PosixWritableFile::Flush()
  0.00     95.88     0.00       33     0.00     0.00  leveldb::EncodeFixed32(char*, unsigned int)
  0.00     95.88     0.00       33     0.00     0.02  leveldb::log::Writer::EmitPhysicalRecord(leveldb::log::RecordType, char const*, unsigned long)
  0.00     95.88     0.00       32     0.00     0.00  leveldb::(anonymous namespace)::LRUCache::~LRUCache()
  0.00     95.88     0.00       32     0.00     0.00  secp256k1_sha256_finalize
  0.00     95.88     0.00       31     0.00     0.00  std::_Rb_tree<CBlockIndex const*, std::pair<CBlockIndex const* const, ThresholdState>, std::_Select1st<std::pair<CBlockIndex const* const, ThresholdState> >, std::less<CBlockIndex const*>, std::allocator<std::pair<CBlockIndex const* const, ThresholdState> > >::_M_erase(std::_Rb_tree_node<std::pair<CBlockIndex const* const, ThresholdState> >*)
